loc_rowid,pl_name,hostname,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,sy_dist,sy_disterr1,sy_disterr2
1,11 Com b,11 Com,2,1,2007,323.21000000,0.06000000,-0.05000000,0,1.178000,0.000000,0.000000,0,12.200,,,0,4914.89849,39.09289,-39.72855,0,93.1846000,1.9238000,-1.9238000
2,11 UMi b,11 UMi,1,1,2009,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,12.300,,,0,4684.81420,794.57500,-794.57500,0,125.3210000,1.9765000,-1.9765000
3,14 And b,14 And,1,1,2008,186.76000000,0.11000000,-0.12000000,0,0.775000,0.000000,0.000000,0,13.100,,,0,1131.15130,36.23244,-38.77507,0,75.4392000,0.7140000,-0.7140000
4,14 Her b,14 Her,1,2,2002,1765.03890000,1.67709000,-1.87256000,0,2.774000,0.109000,-0.120000,0,12.600,,,0,2559.47216,518.69596,-280.64248,0,17.9323000,0.0073000,-0.0073000
5,16 Cyg B b,16 Cyg B,3,1,1996,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,13.500,,,0,565.73740,25.42640,-25.42640,0,21.1397000,0.0110000,-0.0111000
6,17 Sco b,17 Sco,1,1,2020,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,12.900,,,0,1373.01872,47.67426,-38.13941,0,124.9530000,2.5900000,-2.5900000
7,18 Del b,18 Del,2,1,2008,982.85000000,1.06000000,-0.92000000,0,2.476000,0.002000,-0.002000,0,12.500,,,0,2926.24614,50.85255,-24.47279,0,76.2220000,0.6217000,-0.6217000
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,2008,,,,,330.000000,,,0,18.647,,,0,3000.00000,300.00000,-300.00000,0,139.1350000,1.3320000,-1.3070000
9,24 Boo b,24 Boo,1,1,2018,30.33000000,0.00000000,-0.01000000,0,0.194000,0.000000,0.000000,0,13.900,,,0,280.64248,11.44182,-13.66662,0,95.9863000,0.6368500,-0.6368500
10,24 Sex b,24 Sex,1,2,2010,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,13.400,,,0,632.46000,82.63000,-120.77000,0,72.0691000,0.6854000,-0.6728000
11,24 Sex c,24 Sex,1,2,2010,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,13.900,,,0,273.32000,111.24000,-69.92000,0,72.0691000,0.6854000,-0.6728000
12,2M0437 b,2MASS J04372171+2651014,1,1,2021,,,,,118.000000,1.300000,-1.300000,0,13.000,,,0,1271.31363,317.82841,-317.82841,0,128.4840000,1.1960000,-1.1740000
13,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,2013,,,,,84.000000,,,0,12.300,,,0,4131.79000,317.83000,-317.83000,0,47.2000000,3.1000000,-3.1000000
14,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,2013,,,,,52.000000,6.000000,-6.000000,0,11.209,,,0,7786.50000,794.50000,-794.50000,0,33.8281000,0.0864000,-0.0860000
15,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,2015,,,,,156.000000,10.000000,-10.000000,0,16.141,0.336,-0.336,0,4417.83700,349.61300,-349.61300,0,40.0896412,0.1940496,-0.1940496
16,2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,2018,,,,,1950.000000,200.000000,-200.000000,0,12.400,,,0,3686.80952,413.17693,-317.82841,0,66.0613000,0.4543000,-0.4482000
17,2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,2024,,,,,572.000000,7.000000,-7.000000,0,12.200,,,0,5720.91133,317.82841,-317.82841,0,117.4350000,2.3200000,-2.2330000
18,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,2010,,,,,15.000000,,,0,12.600,,,0,2383.60000,794.50000,-794.50000,0,120.4239870,5.4783417,-5.4783417
19,2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,2024,,,,,266.000000,8.000000,-8.000000,0,11.900,,,0,8899.19540,3178.28407,-2224.79885,0,,,
20,2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,2024,,,,,587.000000,2.000000,-2.000000,0,12.100,,,0,6356.56814,317.82841,-317.82841,0,100.8620000,0.6030000,-0.5960000
21,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,2004,,,,,55.000000,,,0,12.900,,,0,1589.15000,635.66000,-635.66000,0,64.3080000,0.6569000,-0.6440000
22,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,2015,406.00000000,4.00000000,-4.00000000,0,0.920000,0.020000,-0.020000,0,13.400,,,0,603.87700,31.78300,-31.78300,0,396.3320000,6.3885000,-6.3885000
23,2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,2024,,,,,7493.000000,11.000000,-11.000000,0,12.400,,,0,3813.94088,317.82841,-317.82841,0,34.1154000,0.0811000,-0.0807000
24,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,2016,,,,,230.000000,20.000000,-20.000000,0,12.300,,,0,3972.87500,476.74500,-476.74500,0,69.5737000,0.1592000,-0.1585000
25,30 Ari B b,30 Ari B,4,1,2009,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,12.300,,,0,4392.41060,572.09400,-572.09400,0,44.6570000,0.1039000,-0.1034000
26,4 UMa b,4 UMa,1,1,2006,270.27000000,0.24000000,-0.09000000,0,0.877000,0.001000,0.000000,0,12.600,,,0,2511.48007,63.24785,-120.13914,0,73.4603000,1.1860500,-1.1860500
27,42 Dra b,42 Dra,2,1,2008,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,13.000,,,0,1233.13000,270.14000,-270.14000,0,90.6545000,1.3227000,-1.3227000
28,47 UMa b,47 UMa,1,3,1996,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,13.200,,,0,804.08000,22.25000,-19.07000,0,13.7967000,0.0289000,-0.0289000
29,47 UMa c,47 UMa,1,3,2001,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,14.200,,,0,171.62100,20.97600,-23.20100,0,13.7967000,0.0289000,-0.0289000
30,47 UMa d,47 UMa,1,3,2009,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,13.500,,,0,521.22000,92.17000,-152.55000,0,13.7967000,0.0289000,-0.0289000
31,51 Eri b,51 Eri,3,1,2015,11688.00000000,6209.25000000,-3287.25000000,0,13.200000,0.200000,-0.200000,0,13.400,,,0,635.66000,,,0,29.7575000,0.1213000,-0.1203000
32,51 Peg b,51 Peg,1,1,1995,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,14.300,,,0,146.20180,19.06980,-3.17830,0,15.4614000,0.0297000,-0.0297000
33,55 Cnc b,55 Cnc,2,5,1996,14.65160000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,13.900,,,0,263.97850,1.04880,-1.04880,0,12.5855000,0.0124000,-0.0123000
34,55 Cnc c,55 Cnc,2,5,2004,44.39890000,0.00420000,-0.00430000,0,0.237300,0.001300,-0.001300,0,8.510,,,0,54.47380,1.74800,-1.74800,0,12.5855000,0.0124000,-0.0123000
35,55 Cnc d,55 Cnc,2,5,2002,5574.20000000,93.80000000,-88.60000000,0,5.957000,0.074000,-0.071000,0,13.000,,,0,1232.49300,21.61200,-21.61200,0,12.5855000,0.0124000,-0.0123000
36,55 Cnc e,55 Cnc,2,5,2004,0.73654740,0.00000130,-0.00000140,0,0.015440,0.000050,-0.000050,0,1.875,0.029,-0.029,0,7.99000,0.32000,-0.33000,0,12.5855000,0.0124000,-0.0123000
37,55 Cnc f,55 Cnc,2,5,2007,259.88000000,0.29000000,-0.29000000,0,0.770800,0.004300,-0.004400,0,7.590,,,0,44.81200,3.81400,-3.81400,0,12.5855000,0.0124000,-0.0123000
38,6 Lyn b,6 Lyn,1,1,2008,919.86000000,1.92000000,-3.71000000,0,2.028000,0.003000,-0.005000,0,13.400,,,0,597.83523,12.07748,-28.28673,0,54.6599000,0.2734000,-0.2734000
39,61 Vir b,61 Vir,1,3,2009,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,2.110,,,0,5.10000,0.50000,-0.50000,0,8.5033200,0.0173700,-0.0173000
40,61 Vir c,61 Vir,1,3,2009,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,4.460,,,0,18.20000,1.10000,-1.10000,0,8.5033200,0.0173700,-0.0173000
41,61 Vir d,61 Vir,1,3,2009,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,5.110,,,0,22.90000,2.60000,-2.60000,0,8.5033200,0.0173700,-0.0173000
42,7 CMa b,7 CMa,1,2,2011,735.10000000,14.80000000,-1.00000000,0,1.758000,0.024000,-0.001000,0,13.400,,,0,587.98550,19.06980,-19.06980,0,19.8101000,0.1648000,-0.1648000
43,7 CMa c,7 CMa,1,2,2019,996.00000000,1.50000000,-52.40000000,0,2.153000,0.003000,-0.080000,0,13.900,,,0,276.51210,19.06980,-19.06980,0,19.8101000,0.1648000,-0.1648000
44,70 Vir b,70 Vir,1,1,1996,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,12.600,,,0,2380.45000,193.87000,-193.87000,0,17.9011000,0.0560000,-0.0557000
45,75 Cet b,75 Cet,2,2,2012,696.62000000,1.33000000,-1.69000000,0,1.912000,0.002000,-0.003000,0,13.300,,,0,787.89662,23.51930,-28.60456,0,82.9613000,0.7236500,-0.7236500
46,75 Cet c,75 Cet,2,2,2023,2051.62000000,45.98000000,-40.47000000,0,3.929000,0.058000,-0.052000,0,13.900,,,0,289.85951,27.96890,-45.44946,0,82.9613000,0.7236500,-0.7236500
47,8 UMi b,8 UMi,1,1,2015,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,13.600,,,0,416.35730,50.85280,-50.85280,0,162.5520000,0.6510000,-0.6460000
48,81 Cet b,81 Cet,1,1,2008,1005.57000000,1.84000000,-1.94000000,0,2.104000,0.003000,-0.003000,0,13.100,,,0,1051.05854,24.79062,-21.29450,0,101.2600000,1.2220000,-1.2220000
49,91 Aqr b,91 Aqr,3,1,2013,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,13.100,,,0,1017.00000,,,0,44.0304000,0.5132500,-0.5132500
50,AB Aur b,AB Aur,1,1,2022,,,,,93.900000,49.300000,-49.300000,0,12.500,,,0,2860.45566,,,0,162.1270000,1.5260000,-1.4980000
51,AB Pic b,AB Pic,1,1,2005,,,,,260.000000,,,0,12.300,,,0,4290.50000,158.90000,-158.90000,0,50.0475000,0.0735000,-0.0733000
52,AF Lep b,AF Lep,1,1,2023,8030.00000000,1800.00000000,-1800.00000000,0,8.400000,1.100000,-1.300000,0,13.100,,,0,1017.05090,222.47988,-190.69704,0,26.8564000,0.0189000,-0.0188000
53,AU Mic b,AU Mic,1,3,2020,8.46308000,0.00006000,-0.00006000,0,0.064900,0.001200,-0.001200,0,3.957,0.146,-0.146,0,20.12000,1.57000,-1.72000,0,9.7221000,0.0046250,-0.0046250
54,AU Mic c,AU Mic,1,3,2021,18.85969000,0.00008000,-0.00008000,0,0.110800,0.002000,-0.002000,0,2.522,0.247,-0.247,0,9.60000,2.07000,-2.31000,0,9.7221000,0.0046250,-0.0046250
55,AU Mic d,AU Mic,1,3,2023,12.73596000,0.00793000,-0.00793000,0,,,,,1.020,,,0,1.05300,0.51100,-0.51100,0,9.7221000,0.0046250,-0.0046250
56,BD+03 2562 b,BD+03 2562,1,1,2017,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,12.700,,,0,2034.11200,413.17900,-413.17900,0,1070.6300000,63.8750000,-63.8750000
57,BD+14 4559 b,BD+14 4559,1,1,2009,268.94000000,0.99000000,-0.99000000,0,0.780000,0.050000,-0.050000,0,13.800,,,0,330.54320,149.38010,-149.38010,0,49.3520000,0.0846000,-0.0844000
58,BD+15 2375 b,BD+15 2375,1,1,2016,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,13.800,,,0,337.21763,85.81410,-85.81410,0,768.0450000,45.0380000,-45.0380000
59,BD+15 2940 b,BD+15 2940,1,1,2013,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,13.700,,,0,352.78000,,,0,426.4200000,6.4400000,-6.4400000
60,BD+20 2457 b,BD+20 2457,1,2,2009,379.63000000,2.01000000,-2.01000000,0,1.450000,,,0,12.100,,,0,6807.63000,,,0,1539.7100000,189.9250000,-189.9250000
61,BD+20 2457 c,BD+20 2457,1,2,2009,621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,12.400,,,0,3963.17000,,,0,1539.7100000,189.9250000,-189.9250000
62,BD+20 274 b,BD+20 274,1,1,2012,578.20000000,5.40000000,-5.40000000,0,1.300000,,,0,13.000,,,0,1334.88600,,,0,1322.5100000,80.5350000,-80.5350000
63,BD+20 594 b,BD+20 594,1,1,2016,41.68550000,0.00300000,-0.00300000,0,0.241000,0.019000,-0.017000,0,2.578,0.112,-0.112,0,22.24810,9.53490,-9.53490,0,179.4610000,1.2570000,-1.2400000
64,BD+45 564 b,BD+45 564,1,1,2021,307.88000000,1.47000000,-1.47000000,0,0.830000,0.040000,-0.040000,0,13.600,,,0,432.24663,38.13941,-38.13941,0,53.6220000,0.1919000,-0.1905000
65,BD+48 738 b,BD+48 738,1,1,2011,392.60000000,5.50000000,-5.50000000,0,1.000000,,,0,13.900,,,0,289.22530,,,0,871.4930000,43.8490000,-43.8490000
66,BD+48 740 b,BD+48 740,1,1,2018,733.00000000,5.00000000,-8.00000000,0,1.700000,0.100000,-0.100000,0,13.500,,,0,540.31100,222.48100,-222.48100,0,666.5890000,21.5335000,-21.5335000
67,BD+49 828 b,BD+49 828,1,1,2015,2590.00000000,300.00000000,-180.00000000,0,4.200000,0.320000,-0.200000,0,13.500,,,0,508.50000,127.10000,-63.60000,0,442.0420000,7.6540000,-7.6540000
68,BD+55 362 b,BD+55 362,1,1,2021,265.59000000,1.04000000,-1.04000000,0,0.780000,0.050000,-0.050000,0,14.000,,,0,228.83645,25.42627,-25.42627,0,52.5697000,0.0974000,-0.0971000
69,BD+60 1417 b,BD+60 1417,1,1,2021,,,,,1662.000000,,,0,14.684,0.673,-0.673,0,4767.42610,1589.14204,-1589.14204,0,44.9543000,0.0593000,-0.0592000
70,BD+63 1405 b,BD+63 1405,1,1,2021,1198.48000000,60.79000000,-60.79000000,0,2.060000,0.140000,-0.140000,0,12.400,,,0,3305.41543,413.17693,-349.61125,0,38.0473000,0.0329000,-0.0329000
71,BD-06 1339 b,BD-06 1339,1,2,2013,3.87280000,0.00040000,-0.00040000,0,0.042800,0.000700,-0.000700,0,2.850,,,0,8.50000,1.30000,-1.30000,0,20.2695000,0.0220000,-0.0218000
72,BD-06 1339 c,BD-06 1339,1,2,2013,125.94000000,0.44000000,-0.44000000,0,0.435000,0.007000,-0.007000,0,8.380,,,0,53.00000,8.00000,-8.00000,0,20.2695000,0.0220000,-0.0218000
73,BD-08 2823 b,BD-08 2823,1,2,2009,5.60000000,0.02000000,-0.02000000,0,0.060000,0.000000,0.000000,0,3.610,,,0,12.71320,3.17830,-3.17830,0,41.3342000,0.0685000,-0.0682000
74,BD-08 2823 c,BD-08 2823,1,2,2009,237.60000000,1.50000000,-1.50000000,0,0.680000,0.020000,-0.020000,0,12.500,,,0,104.00000,10.00000,-10.00000,0,41.3342000,0.0685000,-0.0682000
75,BD-10 3166 b,BD-10 3166,1,1,2000,3.48777000,0.00011000,-0.00011000,0,0.040000,0.000000,0.000000,0,14.100,,,0,187.51970,22.24810,-22.24810,0,84.4069000,0.3537000,-0.3508000
76,BD-11 4672 b,BD-11 4672,1,2,2014,1634.00000000,13.00000000,-14.00000000,0,2.360000,0.040000,-0.040000,0,14.100,,,0,206.58950,15.89150,-19.06980,0,27.1665000,0.0346000,-0.0346000
77,BD-11 4672 c,BD-11 4672,1,2,2020,74.20000000,0.06000000,-0.08000000,0,0.300000,0.010000,-0.010000,0,4.040,,,0,15.37000,2.97000,-2.81000,0,27.1665000,0.0346000,-0.0346000
78,BD-13 2130 b,BD-13 2130,1,1,2007,714.29999000,5.30000000,-5.30000000,0,1.660000,0.120000,-0.120000,0,12.500,,,0,3108.37740,1449.30480,-1449.30480,0,925.2140000,41.2110000,-41.2110000
79,BD-14 3065 b,BD-14 3065 A,3,1,2024,4.28897310,0.00000520,-0.00000520,0,0.065600,0.002600,-0.002600,0,21.590,1.050,-1.050,0,3932.00000,290.00000,-280.00000,0,589.4230000,16.5990000,-15.7290000
80,BD-17 63 b,BD-17 63,1,1,2008,655.57000000,0.58000000,-0.58000000,0,1.340000,0.020000,-0.020000,0,12.800,,,0,1639.99458,63.56568,-63.56568,0,34.4603000,0.0929000,-0.0924000
81,BD-210397 b,BD-210397,1,2,2023,1891.00000000,56.00000000,-48.00000000,0,2.630000,0.060000,-0.050000,0,14.000,,,0,214.00000,31.00000,-32.00000,0,23.7324000,0.0228000,-0.0227000
82,BD-210397 c,BD-210397,1,2,2023,6240.00000000,151.00000000,-156.00000000,0,5.900000,0.100000,-0.100000,0,12.900,,,0,1525.57635,190.69704,-190.69704,0,23.7324000,0.0228000,-0.0227000
83,Barnard b,Barnard's star,1,1,2024,3.15330000,0.00060000,-0.00060000,0,0.022940,0.000330,-0.000330,0,0.764,,,0,0.37000,0.05000,-0.05000,0,1.8265500,0.0009750,-0.0009750
84,CD Cet b,CD Cet,1,1,2020,2.29070000,0.00012000,-0.00012000,0,0.018500,0.001300,-0.001300,0,1.820,,,0,3.95000,0.42000,-0.43000,0,8.6071500,0.0065800,-0.0065800
85,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,2011,10037.50000000,2737.50000000,-2737.50000000,0,2.600000,0.300000,-0.300000,0,12.400,,,0,3337.10000,1430.20000,-1430.20000,0,23.1000000,2.4000000,-2.4000000
86,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,2021,8040000.00000000,470000.00000000,-470000.00000000,0,200.000000,6.000000,-6.000000,0,20.849,0.560,-0.560,0,2479.06157,222.47988,-254.26273,0,,,
87,CHXR 73 b,CHXR 73,1,1,2006,,,,,210.000000,,,0,12.300,,,0,3994.48600,2662.99100,-1664.36900,0,190.3740000,6.6470000,-6.2200000
88,CI Tau c,CI Tau,1,1,2024,25.20000000,1.70000000,-1.80000000,0,0.170000,0.080000,-0.080000,0,13.000,,,0,1144.18227,95.34852,-95.34852,0,157.9980000,1.1980000,-1.1800000
89,COCONUTS-2 b,COCONUTS-2 A,1,1,2021,402000000.00000000,470000000.00000000,-100000000.00000000,0,7506.000000,5205.000000,-2060.000000,0,12.442,0.336,-0.336,0,2002.31896,476.74261,-603.87397,0,10.8864000,0.0041000,-0.0042000
90,CT Cha b,CT Cha,1,1,2007,,,,,440.000000,,,0,24.660,9.080,-6.730,0,5403.00000,1907.00000,-1907.00000,0,190.7200000,0.7780000,-0.7710000
91,CoRoT-1 b,CoRoT-1,1,1,2008,1.50895570,0.00000640,-0.00000640,0,0.027520,0.000220,-0.000230,0,16.700,0.900,-0.900,0,327.35000,38.14000,-38.14000,0,787.9090000,23.4910000,-23.4910000
92,CoRoT-10 b,CoRoT-10,1,1,2010,13.24060000,0.00020000,-0.00020000,0,0.105500,0.002100,-0.002100,0,10.870,0.780,-0.780,0,874.00000,50.85000,-50.85000,0,338.3860000,3.9865000,-3.9865000
93,CoRoT-11 b,CoRoT-11,1,1,2010,2.99433000,0.00001100,-0.00001100,0,0.043600,0.005000,-0.005000,0,16.030,0.340,-0.340,0,740.51000,108.06000,-108.06000,0,655.0370000,24.9470000,-23.2090000
94,CoRoT-12 b,CoRoT-12,1,1,2010,2.82804200,0.00001300,-0.00001300,0,0.040160,0.000930,-0.000920,0,16.140,1.460,-1.460,0,291.43800,22.24700,-20.65800,0,1126.3700000,55.7450000,-55.7450000
95,CoRoT-13 b,CoRoT-13,1,1,2010,4.03519000,0.00003000,-0.00003000,0,0.051000,0.003100,-0.003100,0,9.920,0.157,-0.157,0,415.70400,20.97600,-20.97600,0,1148.9300000,62.1200000,-56.1500000
96,CoRoT-14 b,CoRoT-14,1,1,2010,1.51214000,0.00013000,-0.00013000,0,0.027000,0.002000,-0.002000,0,12.220,0.780,-0.780,0,2415.40000,190.70000,-190.70000,0,1744.6000000,173.0300000,-144.9000000
97,CoRoT-16 b,CoRoT-16,1,1,2011,5.35227000,0.00020000,-0.00020000,0,0.061800,0.001500,-0.001500,0,13.110,1.790,-1.570,0,170.03200,27.01400,-26.37900,0,732.4090000,35.3440000,-32.2820000
98,CoRoT-17 b,CoRoT-17,1,1,2011,3.76810000,0.00030000,-0.00030000,0,0.046100,0.000800,-0.000800,0,11.430,0.780,-0.780,0,772.29000,95.34000,-95.34000,0,1176.1200000,57.1700000,-52.1900000
99,CoRoT-18 b,CoRoT-18,1,1,2011,1.90006930,0.00000280,-0.00000280,0,0.029500,0.001600,-0.001600,0,14.680,2.020,-2.020,0,1102.82000,120.77000,-120.77000,0,764.8890000,27.6140000,-25.7840000
100,CoRoT-19 b,CoRoT-19,1,1,2011,3.89713000,0.00002000,-0.00002000,0,0.051800,0.000800,-0.000800,0,14.460,0.340,-0.340,0,352.78000,19.07000,-19.07000,0,790.6630000,26.7370000,-25.0710000
101,CoRoT-2 b,CoRoT-2,2,1,2008,1.74299350,0.00000100,-0.00000100,0,0.027980,0.000760,-0.000800,0,16.432,0.471,-0.493,0,1102.82000,69.92000,-69.92000,0,213.2830000,2.4850000,-2.4300000
102,CoRoT-20 b,CoRoT-20,1,2,2011,9.24285000,0.00030000,-0.00030000,0,0.090000,0.002000,-0.002000,0,9.416,0.448,-0.448,0,1366.66900,63.56600,-63.56600,0,844.0610000,24.1710000,-22.8830000
103,CoRoT-20 c,CoRoT-20,1,2,2018,1675.00000000,19.00000000,-17.00000000,0,2.900000,0.070000,-0.070000,0,12.200,,,0,5403.11000,317.83000,-317.83000,0,844.0610000,24.1710000,-22.8830000
104,CoRoT-21 b,CoRoT-21,1,1,2012,2.72474000,0.00014000,-0.00014000,0,0.041700,0.001100,-0.001100,0,14.572,1.569,-1.569,0,718.29580,98.52730,-98.52730,0,1398.8341969,286.4501849,-286.4501849
105,CoRoT-22 b,CoRoT-22,1,1,2014,9.75598000,0.00011000,-0.00011000,0,0.092000,0.001400,-0.001400,0,4.880,0.170,-0.390,0,12.20000,14.00000,-8.80000,0,627.1580000,11.1870000,-10.8080000
106,CoRoT-23 b,CoRoT-23,1,1,2011,3.63130000,0.00010000,-0.00010000,0,0.048000,0.004000,-0.004000,0,11.770,1.460,-1.460,0,889.90000,95.30000,-95.30000,0,1060.9700000,45.4700000,-41.9400000
107,CoRoT-24 b,CoRoT-24,1,2,2014,5.11340000,0.00060000,-0.00060000,0,0.056000,0.002000,-0.002000,0,3.700,0.400,-0.400,0,5.70000,,,1,591.5550000,16.0430000,-15.2320000
108,CoRoT-24 c,CoRoT-24,1,2,2014,11.75900000,0.00630000,-0.00630000,0,0.098000,0.003000,-0.003000,0,5.000,0.500,-0.500,0,28.00000,11.00000,-11.00000,0,591.5550000,16.0430000,-15.2320000
109,CoRoT-25 b,CoRoT-25,1,1,2013,4.86069000,0.00006000,-0.00006000,0,0.057800,0.002000,-0.000900,0,12.110,3.400,-1.120,0,85.81000,12.71000,-12.71000,0,1103.4800000,44.2800000,-41.0500000
110,CoRoT-26 b,CoRoT-26,1,1,2013,4.20474000,0.00005000,-0.00005000,0,0.052600,0.001000,-0.001000,0,14.120,1.460,-0.780,0,165.26000,15.89000,-15.89000,0,1045.1800000,,
111,CoRoT-27 b,CoRoT-27,1,1,2014,3.57532000,0.00006000,-0.00006000,0,0.047600,0.006600,-0.006600,0,11.287,0.493,-0.493,0,3302.11000,174.80000,-174.80000,0,1010.2800000,69.2600000,-61.0360000
112,CoRoT-28 b,CoRoT-28,1,1,2015,5.20851000,0.00038000,-0.00038000,0,0.060300,0.005000,-0.005000,0,10.705,0.740,-0.740,0,153.82972,27.65121,-27.65121,0,766.1830000,14.6850000,-14.1520000
113,CoRoT-29 b,CoRoT-29,1,1,2015,2.85057000,0.00000600,-0.00000600,0,0.038600,0.005900,-0.005900,0,10.088,1.793,-1.793,0,270.15550,63.56600,-63.56600,0,806.5070000,44.0270000,-39.7600000
114,CoRoT-3 b,CoRoT-3,1,1,2008,4.25680000,0.00000500,-0.00000500,0,0.057830,0.000850,-0.000850,0,11.320,0.780,-0.780,0,6883.91000,317.80000,-317.80000,0,768.7710000,30.7910000,-28.5450000
115,CoRoT-30 b,CoRoT-30,1,1,2020,9.06005000,0.00024000,-0.00024000,0,0.084400,0.001200,-0.001200,0,11.310,0.852,-0.852,0,921.70700,69.92260,-69.92260,0,1032.2300000,48.5700000,-44.4670000
116,CoRoT-31 b,CoRoT-31,1,1,2020,4.62941000,0.00075000,-0.00075000,0,0.058600,0.003400,-0.003400,0,16.365,3.363,-3.363,0,266.97720,108.06220,-108.06220,0,2005.7600000,169.7900000,-145.7100000
117,CoRoT-35 b,CoRoT-35,1,1,2022,3.22748000,0.00008000,-0.00008000,0,0.042900,0.000920,-0.000920,0,18.831,1.233,-1.233,0,349.61125,117.59651,-117.59651,0,1123.2100000,55.9000000,-50.9200000
118,CoRoT-36 b,CoRoT-36,1,1,2022,5.61653100,0.00002300,-0.00002300,0,0.066000,0.007000,-0.007000,0,15.805,1.569,-1.569,0,216.12332,149.37935,-136.66622,1,925.9580000,27.7960000,-26.2470000
119,CoRoT-4 b,CoRoT-4,1,1,2008,9.20205000,0.00037000,-0.00037000,0,0.090000,0.001000,-0.001000,0,13.340,0.670,-0.560,0,228.83000,25.43000,-25.43000,0,726.4120000,15.1810000,-14.5820000
120,CoRoT-5 b,CoRoT-5,1,1,2009,4.03789620,0.00000190,-0.00000190,0,0.049470,0.000260,-0.000290,0,15.558,0.516,-0.527,0,148.42000,14.93700,-7.62800,0,882.4720000,25.6200000,-25.6200000
121,CoRoT-6 b,CoRoT-6,1,1,2009,8.88659300,0.00000400,-0.00000400,0,0.085500,0.001500,-0.001500,0,13.068,0.392,-0.392,0,940.74000,108.06000,-108.06000,0,645.2940000,12.4530000,-11.9970000
122,CoRoT-7 b,CoRoT-7,1,3,2009,0.85359163,0.00000001,-0.00000001,0,0.017016,0.000170,-0.000036,0,1.681,0.112,-0.112,0,4.07661,1.01982,-1.01982,0,159.9060000,0.9170000,-0.9060000
123,CoRoT-7 c,CoRoT-7,1,3,2009,3.69800000,0.00300000,-0.00300000,0,0.046000,,,0,2.830,,,0,8.40000,0.90000,-0.90000,0,159.9060000,0.9170000,-0.9060000
124,CoRoT-7 d,CoRoT-7,1,3,2022,8.96600000,1.54600000,-1.54600000,0,,,,,4.310,,,0,17.14200,2.55200,-2.55200,0,159.9060000,0.9170000,-0.9060000
125,CoRoT-8 b,CoRoT-8,1,1,2010,6.21229000,0.00003000,-0.00003000,0,0.063000,0.001000,-0.001000,0,6.390,0.220,-0.220,0,69.92000,9.53000,-9.53000,0,322.0370000,2.7140000,-2.7140000
126,CoRoT-9 b,CoRoT-9,2,1,2009,95.27265600,0.00006800,-0.00006800,0,0.402100,0.005400,-0.005400,0,11.949,0.841,-0.706,0,266.97720,15.89150,-15.89150,0,412.9800000,4.7250000,-4.6220000
